lon,lat,age (Ma),label,source
-66.03,-20.91,16.0,positive,Diaz-Rodriguez et al. 2021
-66.0,-18.7,22.0,positive,Diaz-Rodriguez et al. 2021
-66.79,-18.14,20.0,positive,Diaz-Rodriguez et al. 2021
-67.13,-17.95,15.0,positive,Diaz-Rodriguez et al. 2021
-66.19,-20.63,16.0,positive,Diaz-Rodriguez et al. 2021
-66.36,-20.48,16.0,positive,Diaz-Rodriguez et al. 2021
-71.42,-30.25,112.0,positive,Diaz-Rodriguez et al. 2021
-69.61,-24.4,100.0,positive,Diaz-Rodriguez et al. 2021
-69.92,-22.53,142.0,positive,Diaz-Rodriguez et al. 2021
-69.85,-27.41,109.0,positive,Diaz-Rodriguez et al. 2021
-69.17,-23.16,44.0,positive,Diaz-Rodriguez et al. 2021
-69.23,-27.87,14.0,positive,Diaz-Rodriguez et al. 2021
-69.26,-20.04,52.0,positive,Diaz-Rodriguez et al. 2021
-69.08,-24.13,37.0,positive,Diaz-Rodriguez et al. 2021
-68.9,-22.28,33.0,positive,Diaz-Rodriguez et al. 2021
-68.71,-20.96,32.0,positive,Diaz-Rodriguez et al. 2021
-68.74,-21.95,36.0,positive,Diaz-Rodriguez et al. 2021
-68.89,-20.92,35.0,positive,Diaz-Rodriguez et al. 2021
-70.3,-33.15,5.0,positive,Diaz-Rodriguez et al. 2021
-69.72,-18.29,14.0,positive,Diaz-Rodriguez et al. 2021
-68.83,-21.92,36.0,positive,Diaz-Rodriguez et al. 2021
-68.73,-21.12,251.0,positive,Diaz-Rodriguez et al. 2021
-69.55,-26.25,42.0,positive,Diaz-Rodriguez et al. 2021
-69.08,-22.99,29.0,positive,Diaz-Rodriguez et al. 2021
-70.46,-34.09,5.0,positive,Diaz-Rodriguez et al. 2021
-69.06,-22.97,41.0,positive,Diaz-Rodriguez et al. 2021
-68.82,-23.41,42.0,positive,Diaz-Rodriguez et al. 2021
-69.87,-26.77,63.0,positive,Diaz-Rodriguez et al. 2021
-69.08,-24.2,38.0,positive,Diaz-Rodriguez et al. 2021
-69.07,-24.27,37.0,positive,Diaz-Rodriguez et al. 2021
-69.88,-28.63,34.0,positive,Diaz-Rodriguez et al. 2021
-69.28,-27.27,22.0,positive,Diaz-Rodriguez et al. 2021
-69.08,-20.18,31.0,positive,Diaz-Rodriguez et al. 2021
-68.75,-22.67,275.0,positive,Diaz-Rodriguez et al. 2021
-69.03,-27.23,13.0,positive,Diaz-Rodriguez et al. 2021
-69.51,-23.45,58.0,positive,Diaz-Rodriguez et al. 2021
-70.27,-33.13,5.0,positive,Diaz-Rodriguez et al. 2021
-70.5,-31.71,10.0,positive,Diaz-Rodriguez et al. 2021
-68.91,-22.38,34.0,positive,Diaz-Rodriguez et al. 2021
-69.24,-22.56,64.0,positive,Diaz-Rodriguez et al. 2021
-69.02,-27.17,13.0,positive,Diaz-Rodriguez et al. 2021
-69.28,-19.81,58.0,positive,Diaz-Rodriguez et al. 2021
-68.97,-22.47,36.0,positive,Diaz-Rodriguez et al. 2021
-69.12,-23.3,40.0,positive,Diaz-Rodriguez et al. 2021
-69.42,-26.49,37.0,positive,Diaz-Rodriguez et al. 2021
-70.25,-27.48,110.0,positive,Diaz-Rodriguez et al. 2021
-69.83,-21.92,132.0,positive,Diaz-Rodriguez et al. 2021
-68.8,-21.0,36.0,positive,Diaz-Rodriguez et al. 2021
-68.97,-19.87,36.0,positive,Diaz-Rodriguez et al. 2021
-69.27,-27.38,23.0,positive,Diaz-Rodriguez et al. 2021
-70.3,-28.5,64.0,positive,Diaz-Rodriguez et al. 2021
